Car_Name,Budget_Lakh,Mileage_kmpl,Seating_Capacity,Car_Type,Fuel_Type,Transmission,Condition,User_Needs,Car_Color
Renault Kiger,15.97,19.2,5,SUV,Diesel,Manual,New,Luxury,Black
Kia Seltos,24.07,14.3,4,SUV,Petrol,Manual,Excellent,Family,Red
Mahindra Scorpio,20.28,18.0,4,SUV,Hybrid,Automatic,Excellent,Luxury,Black
Toyota Innova,25.88,14.8,7,MUV,Diesel,Automatic,Excellent,Luxury,White
Maruti Ertiga,28.82,23.2,7,MUV,Electric,Manual,Excellent,Luxury,White
Maruti Baleno,8.59,22.4,4,Hatchback,Electric,Manual,Used,Family,Blue
Tata Nexon,22.7,13.8,4,SUV,Diesel,Automatic,Used,Sporty,White
Honda Jazz,9.06,20.4,5,Hatchback,Diesel,Automatic,Used,Sporty,Red
Mahindra Scorpio,10.29,12.0,4,SUV,Petrol,Automatic,New,Luxury,Red
Toyota Innova,27.72,18.6,7,MUV,Petrol,Automatic,Excellent,Sporty,Silver
Maruti Dzire,11.5,19.9,4,Sedan,Electric,Automatic,Excellent,Family,Red
Mahindra Scorpio,12.97,12.1,5,SUV,Hybrid,Manual,Excellent,Family,Red
Kia Seltos,11.51,19.5,4,SUV,Petrol,Manual,Used,Luxury,Red
Maruti Dzire,16.53,22.6,4,Sedan,CNG,Automatic,Excellent,Sporty,Black
Tata Harrier,19.41,19.9,5,SUV,Petrol,Automatic,Excellent,Sporty,Red
Kia Sonet,18.02,20.4,4,SUV,Petrol,Automatic,Used,Family,Silver
Tata Harrier,12.57,24.0,5,SUV,Electric,Manual,New,Sporty,White
Hyundai Venue,33.19,22.0,5,SUV,Petrol,Manual,New,Sporty,White
Renault Triber,15.75,16.4,7,MUV,Diesel,Automatic,New,Family,Blue
Hyundai Creta,24.95,14.1,4,SUV,Petrol,Automatic,Used,Sporty,Black
Toyota Fortuner,23.99,15.4,4,SUV,Hybrid,Manual,New,Sporty,Blue
Toyota Innova,13.67,19.0,7,MUV,Petrol,Manual,Excellent,Sporty,White
Honda City,12.13,23.1,4,Sedan,Diesel,Automatic,Excellent,Family,Black
Tata Nexon,19.27,18.7,4,SUV,Petrol,Manual,Used,Sporty,Blue
Maruti Dzire,14.44,15.8,4,Sedan,Petrol,Manual,Used,Sporty,White
Honda Jazz,5.23,23.2,4,Hatchback,Electric,Manual,Used,Luxury,Blue
Tata Nexon,26.53,12.9,5,SUV,Diesel,Automatic,New,Family,White
Honda City,16.69,20.9,4,Sedan,Electric,Manual,Used,Luxury,White
Renault Triber,17.99,23.1,7,MUV,Electric,Automatic,Excellent,Sporty,White
Honda Amaze,15.82,20.9,5,Sedan,Petrol,Automatic,New,Luxury,White
Renault Kiger,21.17,20.2,4,SUV,CNG,Manual,New,Family,Black
Maruti Ertiga,16.35,23.2,7,MUV,CNG,Automatic,Excellent,Sporty,Silver
Maruti Ertiga,28.99,20.2,7,MUV,Diesel,Automatic,Excellent,Family,Black
Renault Triber,14.36,16.9,7,MUV,Hybrid,Manual,Excellent,Sporty,Silver
Kia Seltos,27.9,21.7,4,SUV,Diesel,Automatic,Excellent,Family,Grey
Kia Sonet,11.7,15.5,4,Sedan,Electric,Manual,New,Family,White
Kia Sonet,14.1,14.3,4,Sedan,CNG,Automatic,Used,Luxury,Silver
Toyota Fortuner,12.08,21.9,4,SUV,Hybrid,Automatic,New,Luxury,Blue
Toyota Fortuner,12.53,14.2,5,SUV,Petrol,Manual,Used,Luxury,Red
Mahindra Scorpio,26.52,18.0,4,SUV,Petrol,Automatic,Used,Sporty,Grey
Mahindra Bolero,28.32,20.0,7,MUV,Electric,Manual,Used,Sporty,Silver
Maruti Dzire,8.83,16.0,4,Sedan,CNG,Manual,New,Sporty,Red
Honda City,15.32,22.1,4,Sedan,Electric,Automatic,New,Sporty,Red
Renault Triber,25.25,15.3,7,MUV,Diesel,Automatic,New,Sporty,Silver
Mahindra Bolero,19.43,14.7,7,MUV,CNG,Manual,New,Luxury,Grey
Maruti Baleno,7.37,17.0,5,Hatchback,Petrol,Manual,New,Family,White
Renault Kiger,17.03,20.4,5,SUV,CNG,Manual,New,Sporty,Silver
Renault Kiger,13.85,13.3,4,SUV,Diesel,Manual,New,Family,Red
Tata Nexon,11.62,12.4,4,SUV,Petrol,Automatic,Used,Luxury,Black
Renault Kiger,14.53,14.1,4,SUV,Diesel,Manual,New,Sporty,Grey
Kia Sonet,19.78,22.3,4,SUV,Diesel,Automatic,Used,Family,Black
Honda Amaze,16.71,22.6,4,Sedan,Hybrid,Manual,New,Family,Red
Renault Triber,17.68,22.5,7,MUV,Diesel,Manual,New,Luxury,Black
Tata Punch,28.57,12.2,4,MUV,Diesel,Manual,Excellent,Sporty,Red
Hyundai Venue,28.87,19.5,4,SUV,Petrol,Automatic,Excellent,Family,White
Honda City,9.98,19.4,4,Sedan,Petrol,Manual,Used,Family,Red
Hyundai Venue,30.9,14.4,4,SUV,Diesel,Automatic,Excellent,Sporty,Black
Kia Seltos,33.66,13.3,4,SUV,Petrol,Manual,Used,Sporty,Black
Hyundai i20,5.6,15.4,5,Hatchback,Electric,Automatic,New,Sporty,Black
Kia Sonet,16.14,12.6,5,Sedan,CNG,Automatic,Excellent,Family,White
Tata Nexon,13.32,12.4,4,SUV,CNG,Manual,Excellent,Luxury,Blue
Mahindra XUV700,17.99,13.9,4,SUV,Electric,Manual,Excellent,Sporty,Red
Maruti Baleno,4.0,23.1,4,Hatchback,Petrol,Automatic,New,Sporty,Silver
Maruti Baleno,4.62,20.2,5,Hatchback,Diesel,Manual,New,Luxury,White
Hyundai Verna,13.89,22.5,4,Sedan,Petrol,Manual,New,Sporty,Grey
Maruti Ertiga,25.96,21.9,7,MUV,Hybrid,Automatic,Excellent,Luxury,Red
Renault Kiger,13.89,21.2,5,SUV,Petrol,Automatic,New,Luxury,Red
Maruti Dzire,17.6,22.2,5,Sedan,Petrol,Automatic,Excellent,Luxury,Red
Tata Nexon,16.06,15.1,5,SUV,Electric,Automatic,New,Sporty,White
Hyundai Verna,16.27,12.5,4,Sedan,Diesel,Manual,Excellent,Luxury,Grey
Toyota Innova,29.98,21.3,7,MUV,CNG,Automatic,Excellent,Sporty,White
Kia Sonet,22.71,19.8,5,MUV,Diesel,Manual,Used,Sporty,Blue
Hyundai Venue,21.6,23.6,4,SUV,CNG,Manual,New,Luxury,Grey
Kia Sonet,12.17,12.7,5,MUV,Electric,Automatic,Excellent,Sporty,Blue
Kia Seltos,11.09,19.0,5,SUV,CNG,Automatic,New,Luxury,Black
Tata Punch,15.9,20.7,5,Sedan,Diesel,Automatic,Excellent,Family,Blue
Tata Harrier,25.47,21.7,5,SUV,Diesel,Manual,Excellent,Luxury,Silver
Honda City,8.54,16.2,4,Sedan,Diesel,Manual,New,Sporty,Silver
Renault Kiger,20.77,13.6,4,SUV,Electric,Automatic,Used,Luxury,Blue
Mahindra Scorpio,18.24,20.8,4,SUV,Hybrid,Automatic,Used,Luxury,Red
Honda City,17.99,13.6,4,Sedan,Hybrid,Manual,New,Family,Red
Renault Kiger,24.28,16.5,4,SUV,Petrol,Automatic,Used,Luxury,Black
Mahindra Bolero,23.09,20.5,7,MUV,Electric,Manual,Used,Sporty,Red
Maruti Baleno,7.43,18.2,4,Hatchback,Electric,Automatic,Excellent,Family,Red
Mahindra Scorpio,29.07,15.4,5,SUV,CNG,Automatic,Used,Luxury,Grey
Toyota Fortuner,24.28,16.9,4,SUV,Petrol,Manual,New,Family,White
Maruti Baleno,4.22,14.0,5,Hatchback,CNG,Automatic,New,Luxury,Black
Tata Altroz,6.11,15.3,5,Hatchback,CNG,Manual,New,Family,Red
Kia Sonet,24.7,22.5,4,MUV,Hybrid,Automatic,Excellent,Family,Grey
Toyota Innova,21.95,19.3,7,MUV,Electric,Manual,Excellent,Family,White
Renault Kiger,17.79,20.7,5,SUV,CNG,Automatic,Used,Sporty,Red
Tata Nexon,23.76,20.9,4,SUV,Diesel,Manual,New,Family,Red
Hyundai Venue,28.7,23.8,4,SUV,Diesel,Automatic,Excellent,Luxury,White
Tata Altroz,7.86,12.7,5,Hatchback,CNG,Automatic,Excellent,Luxury,White
Honda Amaze,10.92,20.3,5,Sedan,CNG,Automatic,Excellent,Family,Blue
Tata Harrier,19.03,14.2,4,SUV,Hybrid,Manual,Excellent,Luxury,Silver
Mahindra Scorpio,25.47,14.1,5,SUV,Petrol,Automatic,Excellent,Luxury,Black
Renault Kiger,30.31,12.1,5,SUV,Diesel,Manual,Excellent,Sporty,Red
Mahindra Bolero,15.08,16.4,7,MUV,Diesel,Automatic,Excellent,Family,White
Kia Seltos,27.06,12.7,5,SUV,Diesel,Automatic,New,Family,Grey
Hyundai Verna,8.17,17.3,5,Sedan,CNG,Automatic,Used,Sporty,Blue
Maruti Swift,7.96,13.1,5,Hatchback,Diesel,Manual,New,Family,Red
Toyota Innova,20.88,23.2,7,MUV,Diesel,Manual,Excellent,Family,Blue
Hyundai Venue,14.56,20.9,5,SUV,Petrol,Manual,Excellent,Family,Grey
Kia Sonet,29.14,13.7,5,SUV,Hybrid,Manual,Used,Family,Red
Toyota Glanza,16.4,21.1,5,SUV,Diesel,Manual,Used,Luxury,Grey
Renault Triber,27.3,14.9,7,MUV,Hybrid,Manual,New,Luxury,Silver
Renault Triber,26.36,15.5,7,MUV,Electric,Automatic,Used,Sporty,Silver
Maruti Baleno,4.56,22.9,5,Hatchback,CNG,Manual,Used,Sporty,Blue
Renault Kiger,27.74,12.4,4,SUV,Hybrid,Manual,Used,Sporty,Blue
Mahindra Scorpio,18.12,20.2,4,SUV,CNG,Automatic,Used,Luxury,Red
Hyundai Venue,10.49,23.9,4,SUV,Hybrid,Automatic,Used,Sporty,Grey
Tata Punch,30.06,15.9,5,SUV,Electric,Manual,Used,Family,White
Maruti Ertiga,22.16,19.3,7,MUV,Electric,Automatic,Used,Luxury,Blue
Honda Jazz,9.73,13.2,4,Hatchback,CNG,Automatic,New,Luxury,White
Honda Jazz,9.96,15.6,4,Hatchback,Diesel,Automatic,Excellent,Sporty,Blue
Tata Nexon,32.86,14.8,5,SUV,Diesel,Automatic,Excellent,Sporty,Grey
Toyota Innova,29.18,14.7,7,MUV,Diesel,Automatic,Excellent,Sporty,White
Tata Altroz,4.93,22.3,5,Hatchback,Petrol,Manual,Used,Sporty,Red
Tata Punch,19.97,22.0,4,SUV,CNG,Automatic,New,Family,Silver
Kia Sonet,17.69,18.1,5,SUV,Diesel,Automatic,Used,Luxury,Blue
Mahindra Scorpio,13.11,20.1,5,SUV,Diesel,Automatic,Used,Luxury,Grey
Toyota Fortuner,17.37,19.2,4,SUV,CNG,Manual,Excellent,Family,Red
Tata Harrier,11.56,22.2,4,SUV,Petrol,Automatic,New,Family,White
Renault Triber,25.85,12.4,7,MUV,Hybrid,Automatic,New,Family,White
Maruti Ertiga,18.2,20.2,7,MUV,Hybrid,Automatic,Used,Sporty,Blue
Hyundai i20,5.73,23.8,4,Hatchback,Diesel,Automatic,New,Sporty,Blue
Renault Triber,29.89,22.7,7,MUV,Diesel,Automatic,Used,Sporty,Blue
Tata Punch,8.51,14.5,5,Hatchback,Electric,Automatic,New,Luxury,Black
Mahindra Bolero,20.29,19.4,7,MUV,Electric,Automatic,Used,Sporty,Silver
Kia Seltos,33.84,13.8,5,SUV,Diesel,Manual,Excellent,Family,Blue
Honda City,17.49,18.1,5,Sedan,Hybrid,Manual,Used,Sporty,White
Maruti Swift,4.48,12.5,4,Hatchback,Electric,Manual,Used,Luxury,Silver
Maruti Dzire,14.77,16.0,5,Sedan,Electric,Automatic,Excellent,Family,Blue
Honda City,9.44,20.8,5,Sedan,Hybrid,Manual,Used,Sporty,Black
Mahindra Bolero,16.52,19.1,7,MUV,Petrol,Manual,New,Sporty,White
Honda Amaze,14.64,21.5,4,Sedan,Hybrid,Automatic,Excellent,Sporty,White
Kia Sonet,6.59,22.4,5,Hatchback,Hybrid,Automatic,New,Family,Blue
Honda Jazz,6.64,16.9,4,Hatchback,Petrol,Automatic,New,Sporty,White
Honda Jazz,6.38,17.0,5,Hatchback,Diesel,Manual,Used,Family,Black
Maruti Baleno,6.65,14.4,5,Hatchback,Electric,Automatic,New,Luxury,Grey
Renault Triber,18.69,20.2,7,MUV,Petrol,Manual,Excellent,Family,Grey
Renault Triber,11.73,20.3,7,MUV,CNG,Automatic,Used,Luxury,Red
Tata Altroz,6.51,15.0,5,Hatchback,Diesel,Automatic,New,Family,White
Mahindra Bolero,27.54,17.4,7,MUV,CNG,Manual,Used,Luxury,Blue
Hyundai Creta,17.29,23.6,4,SUV,CNG,Automatic,Excellent,Sporty,Black
Renault Triber,15.94,19.6,7,MUV,Electric,Automatic,Excellent,Family,Red
Renault Triber,14.46,23.4,7,MUV,Hybrid,Manual,Used,Family,Blue
Tata Altroz,6.67,23.8,5,Hatchback,Diesel,Manual,Excellent,Luxury,Grey
Hyundai Creta,24.6,12.8,5,SUV,Electric,Automatic,Used,Sporty,Black
Honda Amaze,12.21,16.1,4,Sedan,Diesel,Automatic,Excellent,Family,Silver
Hyundai Venue,29.89,19.6,5,SUV,CNG,Manual,Used,Luxury,Silver
Renault Kiger,22.22,12.9,4,SUV,Diesel,Manual,Excellent,Family,Red
Kia Sonet,8.94,20.7,5,Sedan,Hybrid,Automatic,Excellent,Family,Grey
Hyundai Creta,17.85,23.4,4,SUV,Diesel,Manual,Excellent,Sporty,White
Toyota Glanza,27.15,20.3,5,SUV,Electric,Automatic,New,Sporty,Red
Honda Amaze,16.57,14.8,5,Sedan,Diesel,Manual,Used,Family,Grey
Tata Punch,23.54,19.8,5,MUV,CNG,Automatic,Used,Sporty,Blue
Kia Sonet,5.31,16.3,5,Hatchback,CNG,Manual,Excellent,Family,Grey
Maruti Dzire,16.98,12.2,4,Sedan,Diesel,Manual,Used,Luxury,Blue
Toyota Fortuner,24.18,17.3,4,SUV,Hybrid,Automatic,Used,Family,Grey
Hyundai i20,8.35,18.9,4,Hatchback,Electric,Automatic,New,Family,Grey
Honda Jazz,7.22,12.9,5,Hatchback,Petrol,Manual,Excellent,Family,Red
Kia Seltos,26.21,16.1,5,SUV,Hybrid,Automatic,New,Family,Grey
Toyota Glanza,15.53,19.9,4,Sedan,Hybrid,Automatic,Used,Family,Red
Tata Punch,14.19,22.5,4,Sedan,Petrol,Manual,New,Family,White
Honda City,15.61,24.0,5,Sedan,Hybrid,Manual,New,Family,Silver
Hyundai Verna,15.86,16.1,4,Sedan,Diesel,Manual,New,Luxury,Grey
Mahindra Bolero,27.46,14.5,7,MUV,CNG,Manual,Used,Sporty,White
Tata Harrier,34.83,17.1,5,SUV,CNG,Automatic,Used,Family,Blue
Kia Seltos,29.5,17.2,4,SUV,Hybrid,Manual,New,Luxury,Blue
Mahindra XUV700,30.26,14.0,4,SUV,Diesel,Manual,New,Luxury,Grey
Hyundai Creta,18.24,23.3,5,SUV,Electric,Manual,Used,Sporty,Silver
Mahindra Bolero,27.49,20.4,7,MUV,Hybrid,Automatic,Excellent,Luxury,Blue
Hyundai i20,8.47,13.6,4,Hatchback,Diesel,Automatic,Used,Family,White
Kia Seltos,23.47,21.9,5,SUV,Electric,Automatic,Excellent,Luxury,Red
Maruti Dzire,12.96,20.0,5,Sedan,Hybrid,Automatic,Excellent,Sporty,Grey
Toyota Glanza,8.65,21.5,5,Hatchback,Hybrid,Automatic,Used,Luxury,White
Honda Amaze,14.01,23.9,5,Sedan,Diesel,Manual,Excellent,Sporty,Red
Toyota Fortuner,21.42,12.8,5,SUV,Electric,Manual,New,Sporty,Black
Renault Triber,10.62,19.7,7,MUV,Petrol,Manual,Excellent,Sporty,White
Toyota Fortuner,31.34,12.2,5,SUV,Hybrid,Manual,Used,Luxury,Blue
Maruti Swift,5.47,19.9,4,Hatchback,Petrol,Automatic,Excellent,Family,Black
Renault Triber,10.12,19.0,7,MUV,Electric,Manual,Excellent,Family,White
Mahindra XUV700,20.37,17.2,4,SUV,Petrol,Manual,Excellent,Luxury,Red
Toyota Innova,17.25,21.7,7,MUV,Petrol,Manual,Excellent,Family,Silver
Renault Kiger,24.07,17.1,5,SUV,Electric,Automatic,New,Luxury,Silver
Mahindra Bolero,20.9,13.2,7,MUV,Hybrid,Manual,New,Luxury,Grey
Toyota Fortuner,34.85,15.0,5,SUV,Hybrid,Manual,New,Sporty,Blue
Kia Seltos,10.16,19.3,4,SUV,Petrol,Manual,Excellent,Sporty,Black
Honda City,14.91,16.2,4,Sedan,CNG,Manual,New,Sporty,Red
Kia Seltos,32.23,15.0,5,SUV,CNG,Manual,Excellent,Luxury,White
Toyota Fortuner,33.09,24.0,5,SUV,Hybrid,Manual,New,Family,Red
Maruti Ertiga,11.85,22.1,7,MUV,Diesel,Automatic,New,Luxury,Black
Kia Seltos,13.0,23.1,5,SUV,CNG,Automatic,Excellent,Luxury,Blue
Toyota Fortuner,31.91,20.5,5,SUV,CNG,Manual,Used,Luxury,Black
Kia Sonet,4.11,23.5,4,Hatchback,Diesel,Manual,Used,Luxury,Grey
Honda Amaze,11.46,12.9,5,Sedan,Hybrid,Manual,Excellent,Sporty,Grey
Renault Triber,14.9,12.4,7,MUV,Diesel,Manual,Excellent,Family,Blue
Kia Sonet,18.87,17.5,4,MUV,Electric,Automatic,New,Family,Black
Maruti Baleno,6.79,13.5,4,Hatchback,Electric,Automatic,Excellent,Luxury,Blue
Hyundai Venue,12.5,13.0,4,SUV,Diesel,Automatic,Used,Luxury,Black
Mahindra Scorpio,17.95,19.0,4,SUV,Electric,Manual,Excellent,Sporty,Blue
Tata Harrier,17.83,16.5,5,SUV,Diesel,Manual,New,Family,Silver
Kia Sonet,15.13,15.7,4,MUV,CNG,Automatic,Excellent,Family,Blue
Hyundai Venue,13.63,21.2,4,SUV,Petrol,Manual,Used,Family,Grey
Mahindra Scorpio,14.14,21.0,5,SUV,Diesel,Automatic,Excellent,Sporty,Grey
Maruti Dzire,12.12,14.0,5,Sedan,CNG,Automatic,Used,Sporty,Red
Toyota Fortuner,27.77,18.3,5,SUV,Diesel,Manual,Used,Luxury,Black
Renault Kiger,29.24,12.9,4,SUV,Petrol,Automatic,New,Luxury,Silver
Kia Seltos,33.88,15.4,4,SUV,Hybrid,Automatic,New,Sporty,Blue
Hyundai Verna,11.03,20.6,5,Sedan,Electric,Manual,New,Family,Red
Tata Nexon,28.1,13.1,4,SUV,CNG,Manual,Excellent,Sporty,Black
Hyundai Creta,31.38,22.2,4,SUV,Petrol,Automatic,Used,Luxury,Blue
Mahindra Bolero,24.11,22.0,7,MUV,Electric,Automatic,New,Luxury,Red
Toyota Fortuner,15.28,22.8,4,SUV,CNG,Manual,New,Sporty,Red
Renault Kiger,27.31,16.5,4,SUV,Diesel,Automatic,Excellent,Luxury,Grey
Toyota Fortuner,12.86,23.2,5,SUV,Diesel,Manual,Used,Family,Silver
Maruti Swift,9.73,15.4,5,Hatchback,Diesel,Manual,Used,Family,Grey
Mahindra XUV700,20.1,18.2,4,SUV,CNG,Automatic,Used,Luxury,Black
Toyota Innova,16.01,15.9,7,MUV,CNG,Manual,Excellent,Sporty,Red
Toyota Fortuner,22.73,22.9,5,SUV,Electric,Automatic,Excellent,Sporty,Grey
Honda Amaze,16.34,15.0,5,Sedan,Diesel,Manual,Used,Luxury,Blue
Kia Sonet,32.28,19.3,4,SUV,CNG,Manual,Used,Luxury,White
Kia Seltos,29.44,15.6,4,SUV,Petrol,Manual,Excellent,Sporty,Silver
Renault Kiger,29.11,17.5,4,SUV,Electric,Automatic,Excellent,Sporty,White
Renault Kiger,20.11,15.0,4,SUV,Diesel,Manual,New,Sporty,Silver
Honda Jazz,7.54,12.2,4,Hatchback,Electric,Manual,Used,Luxury,White
Renault Triber,26.23,17.2,7,MUV,Electric,Manual,Used,Family,Red
Renault Triber,19.54,14.7,7,MUV,Petrol,Automatic,New,Luxury,Red
Mahindra Bolero,16.26,17.8,7,MUV,Petrol,Automatic,Excellent,Sporty,Blue
Tata Punch,7.57,18.1,5,Hatchback,CNG,Manual,New,Luxury,Grey
Mahindra XUV700,33.5,14.7,5,SUV,Diesel,Automatic,Excellent,Family,Red
Maruti Dzire,10.98,15.3,5,Sedan,Hybrid,Manual,Used,Sporty,Silver
Toyota Fortuner,27.5,20.2,4,SUV,Hybrid,Automatic,New,Family,Blue
Toyota Innova,12.42,13.1,7,MUV,Petrol,Manual,Excellent,Luxury,White
Tata Harrier,30.38,17.4,5,SUV,Electric,Manual,Used,Family,White
Kia Sonet,28.76,17.9,4,SUV,Petrol,Manual,New,Family,White
Mahindra Bolero,28.83,16.5,7,MUV,Diesel,Manual,New,Luxury,Red
Mahindra Bolero,19.22,13.9,7,MUV,Diesel,Automatic,Used,Sporty,Red
Kia Sonet,15.77,17.5,4,SUV,Diesel,Automatic,New,Family,Silver
Honda Jazz,7.68,20.9,5,Hatchback,Petrol,Automatic,Excellent,Sporty,White
Mahindra Bolero,16.99,13.7,7,MUV,Petrol,Automatic,Excellent,Luxury,White
Tata Harrier,34.22,16.8,4,SUV,Hybrid,Automatic,Used,Family,Silver
Kia Sonet,9.22,16.8,4,Hatchback,Electric,Manual,Excellent,Luxury,Black
Tata Harrier,31.98,20.6,4,SUV,Petrol,Automatic,Excellent,Luxury,Silver
Mahindra Scorpio,14.66,19.3,4,SUV,CNG,Automatic,Used,Sporty,Silver
Mahindra Scorpio,16.7,21.8,5,SUV,CNG,Automatic,Used,Luxury,Red
Hyundai Verna,9.69,20.8,5,Sedan,CNG,Manual,New,Family,Black
Renault Kiger,25.51,22.5,4,SUV,Diesel,Manual,Excellent,Luxury,Grey
Honda Jazz,8.34,22.1,4,Hatchback,Electric,Automatic,New,Luxury,Grey
Tata Nexon,10.67,15.8,4,SUV,Petrol,Manual,Used,Sporty,Red
Maruti Dzire,11.51,18.4,4,Sedan,Diesel,Manual,Excellent,Sporty,Blue
Maruti Swift,6.39,14.5,4,Hatchback,CNG,Manual,Excellent,Luxury,Red
Mahindra Scorpio,19.83,21.0,5,SUV,CNG,Automatic,Excellent,Luxury,Grey
Kia Seltos,12.03,22.7,4,SUV,CNG,Automatic,New,Family,Black
Maruti Swift,9.7,12.4,4,Hatchback,CNG,Manual,Excellent,Luxury,Grey
Renault Triber,13.66,19.7,7,MUV,Petrol,Automatic,New,Family,Grey
Toyota Glanza,19.42,21.2,4,MUV,Diesel,Automatic,Used,Sporty,Silver
Hyundai Venue,32.13,16.8,5,SUV,Electric,Manual,Excellent,Luxury,White
Kia Sonet,6.73,13.9,4,Hatchback,Petrol,Manual,Excellent,Luxury,Silver
Tata Nexon,28.21,20.0,4,SUV,Petrol,Manual,Excellent,Luxury,White
Kia Sonet,14.84,13.8,4,Sedan,Diesel,Manual,Excellent,Sporty,Blue
Hyundai Creta,25.29,17.7,5,SUV,Hybrid,Manual,Excellent,Luxury,Red
Honda Jazz,6.02,20.2,5,Hatchback,Diesel,Automatic,New,Family,Black
Mahindra Scorpio,29.39,18.5,4,SUV,Diesel,Manual,Used,Family,Black
Mahindra Bolero,21.0,14.1,7,MUV,Petrol,Manual,Used,Luxury,Red
Kia Seltos,34.2,22.3,5,SUV,Electric,Automatic,Excellent,Luxury,Blue
Tata Altroz,5.19,12.5,4,Hatchback,CNG,Manual,New,Luxury,Black
Kia Seltos,18.23,22.1,4,SUV,Hybrid,Automatic,New,Luxury,Black
Renault Triber,12.17,16.2,7,MUV,Electric,Automatic,Used,Luxury,Grey
Toyota Innova,27.09,19.3,7,MUV,CNG,Automatic,Excellent,Luxury,Blue
Renault Kiger,14.94,20.3,5,SUV,Hybrid,Manual,Excellent,Sporty,Red
Renault Kiger,26.45,15.9,5,SUV,Diesel,Automatic,Used,Sporty,Blue
Mahindra XUV700,10.42,21.9,5,SUV,Electric,Automatic,Used,Family,Black
Hyundai Creta,31.78,21.5,5,SUV,Hybrid,Manual,New,Sporty,Red
Kia Sonet,13.05,12.7,4,Sedan,CNG,Manual,Excellent,Sporty,Blue
Maruti Swift,8.52,20.0,5,Hatchback,CNG,Automatic,Used,Luxury,Blue
Tata Punch,14.49,20.3,4,MUV,Diesel,Automatic,New,Sporty,Grey
Kia Sonet,15.4,14.9,5,MUV,Petrol,Manual,Excellent,Family,Black
Tata Altroz,8.66,14.5,5,Hatchback,Electric,Manual,Used,Luxury,Red
Honda City,10.61,18.6,4,Sedan,Petrol,Automatic,New,Family,Red
Mahindra Scorpio,17.71,23.6,4,SUV,Electric,Manual,Used,Luxury,White
Kia Sonet,16.31,17.8,5,MUV,Petrol,Automatic,Excellent,Luxury,Silver
Toyota Innova,16.21,21.6,7,MUV,Hybrid,Manual,Excellent,Luxury,Black
Renault Kiger,34.53,21.8,4,SUV,Petrol,Automatic,New,Sporty,Silver
Toyota Innova,20.26,19.6,7,MUV,Electric,Automatic,Excellent,Sporty,Blue
Kia Seltos,30.99,23.5,4,SUV,Hybrid,Automatic,New,Family,Silver
Toyota Innova,29.32,14.5,7,MUV,Diesel,Automatic,Excellent,Luxury,Blue
Kia Seltos,31.21,12.2,5,SUV,Electric,Automatic,Excellent,Family,White
Mahindra XUV700,12.2,15.8,5,SUV,CNG,Automatic,Used,Luxury,Grey
Maruti Dzire,12.79,15.8,5,Sedan,Diesel,Manual,Used,Family,Silver
Toyota Innova,29.32,15.8,7,MUV,Electric,Manual,Excellent,Family,White
Honda Amaze,15.22,22.3,4,Sedan,Hybrid,Automatic,Excellent,Sporty,Silver
Hyundai Verna,9.56,18.2,5,Sedan,Petrol,Manual,Used,Family,Blue
Kia Seltos,34.24,16.0,4,SUV,Petrol,Automatic,Used,Sporty,Grey
Maruti Ertiga,13.67,18.7,7,MUV,Diesel,Manual,Excellent,Luxury,Red
Hyundai Creta,30.28,21.3,4,SUV,CNG,Manual,New,Family,Grey
Hyundai Venue,26.48,12.5,5,SUV,CNG,Automatic,Excellent,Sporty,Red
Hyundai Venue,28.04,20.4,5,SUV,Electric,Automatic,Used,Luxury,Red
Renault Triber,15.86,16.7,7,MUV,CNG,Manual,New,Luxury,Red
Renault Triber,19.1,18.1,7,MUV,Hybrid,Manual,Excellent,Sporty,Silver
Hyundai i20,7.56,23.9,5,Hatchback,Petrol,Manual,Used,Luxury,Silver
Mahindra XUV700,13.8,14.4,4,SUV,CNG,Manual,New,Family,White
Maruti Ertiga,15.41,21.2,7,MUV,Electric,Manual,New,Sporty,Black
Tata Nexon,21.96,12.5,5,SUV,Petrol,Manual,New,Family,Silver
Toyota Fortuner,10.61,22.7,5,SUV,Electric,Automatic,New,Family,Black
Kia Sonet,11.73,17.7,5,SUV,Diesel,Manual,New,Family,Blue
Kia Sonet,23.99,22.5,4,SUV,Electric,Automatic,Used,Sporty,White
Kia Sonet,17.52,20.0,4,Sedan,Petrol,Manual,Used,Luxury,Silver
Kia Sonet,11.9,19.4,4,Sedan,Petrol,Manual,New,Luxury,White
Hyundai Venue,22.64,20.9,5,SUV,Petrol,Manual,Excellent,Sporty,Black
Tata Harrier,34.35,23.1,4,SUV,CNG,Manual,Excellent,Sporty,Red
Tata Punch,6.76,18.7,5,Hatchback,Electric,Manual,New,Family,Grey
Maruti Baleno,6.82,19.4,5,Hatchback,Electric,Automatic,New,Sporty,Silver
Hyundai i20,6.57,19.2,5,Hatchback,Diesel,Manual,Used,Sporty,Black
Maruti Swift,9.92,19.1,4,Hatchback,Diesel,Automatic,Used,Luxury,Red
Honda Amaze,15.14,15.0,4,Sedan,Diesel,Manual,Used,Family,Red
Toyota Glanza,24.7,12.2,4,MUV,Hybrid,Automatic,Excellent,Sporty,Red
Toyota Innova,14.39,13.8,7,MUV,Hybrid,Manual,Excellent,Luxury,Red
Tata Altroz,5.02,15.8,4,Hatchback,Petrol,Automatic,Used,Sporty,Grey
